Site,Plot.ID,Species.combo,Plot.Species,Replicate,Treatment,Species,Date,days.after.7aug,Waitzia.Density,Count,Photo,Notes,Budding,Budding.flowering,Flowering,Flowering.seeding,Seeding,Shortest,Tallest,Random1,Random2,Random3,Random4,Random5,Random6,Random7,Random8
3,W7,W,W,7,Monoculture,W.acuminata,7/08/2013,0,Extra high,27,marked as A9,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W7,W,W,7,Monoculture,W.acuminata,21/08/2013,14,Extra high,22,,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A11,A,A,11,Monoculture,A.cupaniana,22/08/2013,14,NA,250,8574,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A12,A,A,12,Monoculture,A.cupaniana,22/08/2013,14,NA,100,8582,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A13,A,A,13,Monoculture,A.cupaniana,22/08/2013,14,NA,100,8603,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A14,A,A,14,Monoculture,A.cupaniana,22/08/2013,14,NA,150,8605,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A15,A,A,15,Monoculture,A.cupaniana,22/08/2013,14,NA,100,8606,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A16,A,A,16,Monoculture,A.cupaniana,22/08/2013,14,NA,250,8607,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A17,A,A,17,Monoculture,A.cupaniana,22/08/2013,14,NA,150,8608,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A18,A,A,18,Monoculture,A.cupaniana,22/08/2013,14,NA,100,8610,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A7,A,A,7,Monoculture,A.cupaniana,22/08/2013,14,NA,150,8609,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A8,A,A,8,Monoculture,A.cupaniana,22/08/2013,14,NA,150,8578,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,A,1,Mixture,A.cupaniana,22/08/2013,14,Low,300,8577,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,A,10,Mixture,A.cupaniana,22/08/2013,14,High,120,8613,only 2 pairs of ion membranes,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,A,2,Mixture,A.cupaniana,22/08/2013,14,Low,300,8583,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,A,3,Mixture,A.cupaniana,22/08/2013,14,Low,100,8584,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,A,4,Mixture,A.cupaniana,22/08/2013,14,Low,300,8595,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,A,5,Mixture,A.cupaniana,22/08/2013,14,High,250,8596,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,A,6,Mixture,A.cupaniana,22/08/2013,14,High,200,8597,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,A,7,Mixture,A.cupaniana,22/08/2013,14,Low,250,8598,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,A,8,Mixture,A.cupaniana,22/08/2013,14,High,150,8599,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,A,9,Mixture,A.cupaniana,22/08/2013,14,High,200,8612,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W11,W,W,11,Monoculture,W.acuminata,22/08/2013,14,High,16,8575,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W12,W,W,12,Monoculture,W.acuminata,22/08/2013,14,Low,8,8581,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W13,W,W,13,Monoculture,W.acuminata,22/08/2013,14,Low,8,8592,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W14,W,W,14,Monoculture,W.acuminata,22/08/2013,14,Low,5,8593,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W15,W,W,15,Monoculture,W.acuminata,22/08/2013,14,High,15,8594,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W16,W,W,16,Monoculture,W.acuminata,22/08/2013,14,High,16,8600,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,22/08/2013,14,Extra high,48,8601,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,22/08/2013,14,Extra high,48,8601,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,22/08/2013,14,Extra high,33,8602,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,22/08/2013,14,Extra high,33,8602,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W19,W,W,19,Monoculture,W.acuminata,22/08/2013,14,Low,5,8611,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W21,W,W,21,Monoculture,W.acuminata,22/08/2013,14,High,23,8614,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W8,W,W,8,Monoculture,W.acuminata,22/08/2013,14,Extra high,39,8585,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,W,1,Mixture,W.acuminata,22/08/2013,14,Low,9,8577,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,W,10,Mixture,W.acuminata,22/08/2013,14,High,19,8613,only 2 pairs of ion membranes,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,W,2,Mixture,W.acuminata,22/08/2013,14,Low,10,8583,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,W,3,Mixture,W.acuminata,22/08/2013,14,Low,4,8584,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,W,4,Mixture,W.acuminata,22/08/2013,14,Low,13,8595,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,W,5,Mixture,W.acuminata,22/08/2013,14,High,15,8596,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,W,6,Mixture,W.acuminata,22/08/2013,14,High,21,8597,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,W,7,Mixture,W.acuminata,22/08/2013,14,Low,8,8598,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,W,8,Mixture,W.acuminata,22/08/2013,14,High,20,8599,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,W,9,Mixture,W.acuminata,22/08/2013,14,High,17,8612,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A11,A,A,11,Monoculture,A.cupaniana,4/09/2013,27,NA,150,8574,,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A12,A,A,12,Monoculture,A.cupaniana,4/09/2013,27,NA,80,8582,,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A13,A,A,13,Monoculture,A.cupaniana,4/09/2013,27,NA,120,8603,,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A14,A,A,14,Monoculture,A.cupaniana,4/09/2013,27,NA,150,8605,,30,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A15,A,A,15,Monoculture,A.cupaniana,4/09/2013,27,NA,100,8606,,60,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A16,A,A,16,Monoculture,A.cupaniana,4/09/2013,27,NA,250,8607,,75,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A17,A,A,17,Monoculture,A.cupaniana,4/09/2013,27,NA,200,8608,,100,70,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A18,A,A,18,Monoculture,A.cupaniana,4/09/2013,27,NA,150,8610,,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A7,A,A,7,Monoculture,A.cupaniana,4/09/2013,27,NA,150,8609,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A8,A,A,8,Monoculture,A.cupaniana,4/09/2013,27,NA,150,8578,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,A,1,Mixture,A.cupaniana,4/09/2013,27,Low,180,8577,,120,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,A,10,Mixture,A.cupaniana,4/09/2013,27,High,100,8613,,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,A,2,Mixture,A.cupaniana,4/09/2013,27,Low,150,8583,,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,A,3,Mixture,A.cupaniana,4/09/2013,27,Low,100,8584,,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,A,4,Mixture,A.cupaniana,4/09/2013,27,Low,150,8595,,90,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,A,5,Mixture,A.cupaniana,4/09/2013,27,High,150,8596,,120,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,A,6,Mixture,A.cupaniana,4/09/2013,27,High,130,8597,,120,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,A,7,Mixture,A.cupaniana,4/09/2013,27,Low,150,8598,,110,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,A,8,Mixture,A.cupaniana,4/09/2013,27,High,100,8599,,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,A,9,Mixture,A.cupaniana,4/09/2013,27,High,150,8612,,120,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W11,W,W,11,Monoculture,W.acuminata,4/09/2013,27,High,16,8575,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W12,W,W,12,Monoculture,W.acuminata,4/09/2013,27,Low,8,8581,,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W13,W,W,13,Monoculture,W.acuminata,4/09/2013,27,Low,8,8592,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W14,W,W,14,Monoculture,W.acuminata,4/09/2013,27,Low,5,8593,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W15,W,W,15,Monoculture,W.acuminata,4/09/2013,27,High,13,8594,,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W16,W,W,16,Monoculture,W.acuminata,4/09/2013,27,High,18,8600,,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,4/09/2013,27,Extra high,44,8601,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,4/09/2013,27,Extra high,44,8601,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,4/09/2013,27,Extra high,31,8602,,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,4/09/2013,27,Extra high,31,8602,,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W19,W,W,19,Monoculture,W.acuminata,4/09/2013,27,Low,5,8611,,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W21,W,W,21,Monoculture,W.acuminata,4/09/2013,27,High,18,8614,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W7,W,W,7,Monoculture,W.acuminata,4/09/2013,27,Extra high,20,,,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W8,W,W,8,Monoculture,W.acuminata,4/09/2013,27,Extra high,35,8585,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,W,1,Mixture,W.acuminata,4/09/2013,27,Low,9,8577,,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,W,10,Mixture,W.acuminata,4/09/2013,27,High,19,8613,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,W,2,Mixture,W.acuminata,4/09/2013,27,Low,12,8583,,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,W,3,Mixture,W.acuminata,4/09/2013,27,Low,4,8584,,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,W,4,Mixture,W.acuminata,4/09/2013,27,Low,17,8595,,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,W,5,Mixture,W.acuminata,4/09/2013,27,High,13,8596,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,W,6,Mixture,W.acuminata,4/09/2013,27,High,17,8597,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,W,7,Mixture,W.acuminata,4/09/2013,27,Low,9,8598,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,W,8,Mixture,W.acuminata,4/09/2013,27,High,19,8599,,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,W,9,Mixture,W.acuminata,4/09/2013,27,High,13,8612,,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A11,A,A,11,Monoculture,A.cupaniana,13/09/2013,36,NA,150,8574,,110,0,40,0,0,10,117,82,84,85,87,60,91,92,70
3,A12,A,A,12,Monoculture,A.cupaniana,13/09/2013,36,NA,100,8582,,80,0,20,0,0,10,103,92,72,44,60,58,43,45,50
3,A13,A,A,13,Monoculture,A.cupaniana,13/09/2013,36,NA,120,8603,,70,0,50,0,0,10,66,50,55,30,35,33,30,25,35
3,A14,A,A,14,Monoculture,A.cupaniana,13/09/2013,36,NA,150,8605,,75,0,75,0,0,13,80,43,45,44,42,30,32,46,40
3,A15,A,A,15,Monoculture,A.cupaniana,13/09/2013,36,NA,NA,8606,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A16,A,A,16,Monoculture,A.cupaniana,13/09/2013,36,NA,175,8607,,0,0,175,0,0,10,70,60,63,45,40,43,35,39,39
3,A17,A,A,17,Monoculture,A.cupaniana,13/09/2013,36,NA,150,8608,,25,0,125,0,0,10,75,60,30,25,29,33,70,60,50
3,A18,A,A,18,Monoculture,A.cupaniana,13/09/2013,36,NA,150,8610,,NA,NA,NA,NA,NA,10,65,27,33,32,30,31,40,24,30
3,A7,A,A,7,Monoculture,A.cupaniana,13/09/2013,36,NA,120,8609,,115,0,5,0,0,10,95,92,72,50,82,80,77,72,70
3,A8,A,A,8,Monoculture,A.cupaniana,13/09/2013,36,NA,125,8578,,100,0,25,0,0,10,97,54,56,42,39,33,31,48,50
3,WA1,WA,A,1,Mixture,A.cupaniana,13/09/2013,36,Low,150,8577,,130,0,20,0,0,10,93,35,45,41,37,36,39,44,45
3,WA10,WA,A,10,Mixture,A.cupaniana,13/09/2013,36,High,100,8613,,50,0,50,0,0,10,40,35,35,39,19,22,21,25,30
3,WA2,WA,A,2,Mixture,A.cupaniana,13/09/2013,36,Low,150,8583,,125,0,25,0,0,10,70,62,50,53,54,50,52,54,42
3,WA3,WA,A,3,Mixture,A.cupaniana,13/09/2013,36,Low,120,8584,,110,0,10,0,0,10,110,75,78,75,65,67,90,68,42
3,WA4,WA,A,4,Mixture,A.cupaniana,13/09/2013,36,Low,150,8595,,75,0,75,0,0,19,90,45,48,37,30,50,49,49,50
3,WA5,WA,A,5,Mixture,A.cupaniana,13/09/2013,36,High,125,8596,,25,0,100,0,0,14,67,58,60,62,52,30,32,31,35
3,WA6,WA,A,6,Mixture,A.cupaniana,13/09/2013,36,High,150,8597,,25,0,125,0,0,10,60,55,54,55,47,48,39,36,36
3,WA7,WA,A,7,Mixture,A.cupaniana,13/09/2013,36,Low,150,8598,,100,0,50,0,0,10,56,50,40,43,45,45,36,38,53
3,WA8,WA,A,8,Mixture,A.cupaniana,13/09/2013,36,High,100,8599,,25,0,75,0,0,10,75,40,46,48,50,44,42,35,30
3,WA9,WA,A,9,Mixture,A.cupaniana,13/09/2013,36,High,125,8612,,110,0,15,0,0,10,110,90,42,40,33,71,73,50,51
3,W11,W,W,11,Monoculture,W.acuminata,13/09/2013,36,High,14,8575,,13,0,0,0,0,36,110,97,44,78,72,56,76,81,86
3,W12,W,W,12,Monoculture,W.acuminata,13/09/2013,36,Low,8,8581,,8,0,0,0,0,60,110,100,62,77,83,65,70,NA,NA
3,W13,W,W,13,Monoculture,W.acuminata,13/09/2013,36,Low,7,8592,,4,0,0,0,0,73,126,80,75,77,74,85,NA,NA,NA
3,W14,W,W,14,Monoculture,W.acuminata,13/09/2013,36,Low,5,8593,,4,0,0,0,0,30,110,100,82,44,NA,NA,NA,NA,NA
3,W15,W,W,15,Monoculture,W.acuminata,13/09/2013,36,High,15,8594,,15,0,0,0,0,50,136,118,134,70,100,50,96,80,60
3,W16,W,W,16,Monoculture,W.acuminata,13/09/2013,36,High,18,8600,,15,0,0,0,0,37,112,82,60,78,60,47,63,81,91
3,W17,W,W,17,Monoculture,W.acuminata,13/09/2013,36,Extra high,38,8601,,5,0,0,0,0,15,88,77,50,45,43,33,51,46,25
3,W17,W,W,17,Monoculture,W.acuminata,13/09/2013,36,Extra high,38,8601,,5,0,0,0,0,15,88,77,50,45,43,33,51,46,25
3,W18,W,W,18,Monoculture,W.acuminata,13/09/2013,36,Extra high,26,8602,,7,0,0,0,0,9,103,50,73,100,72,74,63,50,40
