Site,Plot.ID,Species.combo,Plot.Species,Replicate,Treatment,Species,Date,days.after.7aug,Waitzia.Density,Count,Photo,Notes,Budding,Budding.flowering,Flowering,Flowering.seeding,Seeding,Shortest,Tallest,Random1,Random2,Random3,Random4,Random5,Random6,Random7,Random8
3,W18,W,W,18,Monoculture,W.acuminata,13/09/2013,36,Extra high,26,8602,,7,0,0,0,0,9,103,50,73,100,72,74,63,50,40
3,W19,W,W,19,Monoculture,W.acuminata,13/09/2013,36,Low,5,8611,,4,0,0,0,0,70,142,126,90,110,NA,NA,NA,NA,NA
3,W21,W,W,21,Monoculture,W.acuminata,13/09/2013,36,High,18,8614,,6,0,0,0,0,16,93,20,82,60,62,50,49,73,50
3,W7,W,W,7,Monoculture,W.acuminata,13/09/2013,36,Extra high,16,,,16,0,0,0,0,76,160,82,84,158,140,133,122,140,107
3,W8,W,W,8,Monoculture,W.acuminata,13/09/2013,36,Extra high,NA,8585,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,W,1,Mixture,W.acuminata,13/09/2013,36,Low,8,8577,,6,0,0,0,0,50,180,140,56,106,108,103,158,NA,NA
3,WA10,WA,W,10,Mixture,W.acuminata,13/09/2013,36,High,21,8613,,17,0,0,0,0,23,125,32,95,94,98,86,70,87,62
3,WA2,WA,W,2,Mixture,W.acuminata,13/09/2013,36,Low,12,8583,,4,0,0,0,0,36,136,122,74,60,70,65,60,65,60
3,WA3,WA,W,3,Mixture,W.acuminata,13/09/2013,36,Low,5,8584,,3,0,0,0,0,10,180,66,108,120,NA,NA,NA,NA,NA
3,WA4,WA,W,4,Mixture,W.acuminata,13/09/2013,36,Low,18,8595,,9,0,0,0,0,11,160,143,90,38,70,88,33,120,70
3,WA5,WA,W,5,Mixture,W.acuminata,13/09/2013,36,High,15,8596,,7,0,0,0,0,19,115,23,44,92,30,68,70,72,50
3,WA6,WA,W,6,Mixture,W.acuminata,13/09/2013,36,High,18,8597,,1,0,0,0,0,10,110,22,68,50,95,46,84,54,70
3,WA7,WA,W,7,Mixture,W.acuminata,13/09/2013,36,Low,9,8598,,4,0,0,0,0,13,130,70,90,39,40,82,63,118,NA
3,WA8,WA,W,8,Mixture,W.acuminata,13/09/2013,36,High,19,8599,,17,0,0,0,0,33,130,127,105,78,56,115,85,130,60
3,WA9,WA,W,9,Mixture,W.acuminata,13/09/2013,36,High,17,8612,,17,0,0,0,0,36,139,120,113,95,100,112,110,94,72
3,A11,A,A,11,Monoculture,A.cupaniana,30/09/2013,53,NA,150,8574,,0,0,0,150,0,20,170,90,100,105,95,130,150,155,150
3,A12,A,A,12,Monoculture,A.cupaniana,30/09/2013,53,NA,125,8582,,0,0,0,125,0,20,120,100,95,98,101,105,75,99,105
3,A13,A,A,13,Monoculture,A.cupaniana,30/09/2013,53,NA,125,8603,,0,0,0,125,0,11,105,64,67,71,70,59,60,62,64
3,A14,A,A,14,Monoculture,A.cupaniana,30/09/2013,53,NA,175,8605,,0,0,0,175,0,10,125,86,92,80,62,64,100,89,89
3,A15,A,A,15,Monoculture,A.cupaniana,30/09/2013,53,NA,100,8606,,0,0,0,100,0,12,65,52,50,46,48,42,44,40,NA
3,A16,A,A,16,Monoculture,A.cupaniana,30/09/2013,53,NA,125,8607,,0,0,0,125,0,34,95,80,64,66,67,71,82,42,48
3,A17,A,A,17,Monoculture,A.cupaniana,30/09/2013,53,NA,100,8608,,0,0,0,100,0,12,82,65,42,44,72,75,70,52,39
3,A18,A,A,18,Monoculture,A.cupaniana,30/09/2013,53,NA,100,8610,,0,0,0,100,0,20,100,40,60,65,50,40,50,45,60
3,A7,A,A,7,Monoculture,A.cupaniana,30/09/2013,53,NA,125,8609,,0,0,0,125,0,40,155,100,90,50,60,65,100,110,115
3,A8,A,A,8,Monoculture,A.cupaniana,30/09/2013,53,NA,100,8578,,0,0,0,100,0,20,140,105,110,90,75,80,75,105,110
3,WA1,WA,A,1,Mixture,A.cupaniana,30/09/2013,53,Low,100,8577,,0,0,0,100,0,30,120,70,75,80,60,70,85,70,60
3,WA10,WA,A,10,Mixture,A.cupaniana,30/09/2013,53,High,70,8613,,0,0,0,70,0,12,54,32,32,37,39,43,44,46,48
3,WA2,WA,A,2,Mixture,A.cupaniana,30/09/2013,53,Low,125,8583,,0,0,0,125,0,23,96,54,57,75,75,90,85,90,60
3,WA3,WA,A,3,Mixture,A.cupaniana,30/09/2013,53,Low,100,8584,,0,0,0,100,0,15,160,110,120,120,95,90,100,110,80
3,WA4,WA,A,4,Mixture,A.cupaniana,30/09/2013,53,Low,100,8595,,0,0,0,100,0,18,120,63,65,65,55,50,44,72,84
3,WA5,WA,A,5,Mixture,A.cupaniana,30/09/2013,53,High,125,8596,,0,0,0,125,0,10,85,60,65,63,60,47,49,58,55
3,WA6,WA,A,6,Mixture,A.cupaniana,30/09/2013,53,High,125,8597,,0,0,0,125,0,14,75,70,60,70,44,40,45,68,65
3,WA7,WA,A,7,Mixture,A.cupaniana,30/09/2013,53,Low,125,8598,,0,0,0,125,0,10,112,100,65,83,72,74,70,45,74
3,WA8,WA,A,8,Mixture,A.cupaniana,30/09/2013,53,High,50,8599,,0,0,0,50,0,10,120,101,70,60,62,64,50,90,97
3,WA9,WA,A,9,Mixture,A.cupaniana,30/09/2013,53,High,100,8612,,0,0,0,100,0,10,150,140,120,125,135,150,155,100,115
3,W11,W,W,11,Monoculture,W.acuminata,30/09/2013,53,High,15,8575,,15,0,0,0,0,60,155,154,125,60,140,114,130,130,120
3,W12,W,W,12,Monoculture,W.acuminata,30/09/2013,53,Low,8,8581,,8,0,0,0,0,97,150,100,110,113,134,112,98,NA,NA
3,W13,W,W,13,Monoculture,W.acuminata,30/09/2013,53,Low,7,8592,,7,0,0,0,0,100,173,98,110,117,86,121,NA,NA,NA
3,W14,W,W,14,Monoculture,W.acuminata,30/09/2013,53,Low,5,8593,,3,0,0,0,0,45,160,136,115,NA,NA,NA,NA,NA,NA
3,W15,W,W,15,Monoculture,W.acuminata,30/09/2013,53,High,12,8594,,12,0,0,0,0,56,185,155,165,125,94,112,100,118,155
3,W16,W,W,16,Monoculture,W.acuminata,30/09/2013,53,High,18,8600,,18,0,0,0,0,75,148,113,89,93,95,92,107,110,108
3,W17,W,W,17,Monoculture,W.acuminata,30/09/2013,53,Extra high,32,8601,,13,0,0,0,0,14,129,112,70,72,35,54,60,70,90
3,W17,W,W,17,Monoculture,W.acuminata,30/09/2013,53,Extra high,32,8601,,13,0,0,0,0,14,129,112,70,72,35,54,60,70,90
3,W18,W,W,18,Monoculture,W.acuminata,30/09/2013,53,Extra high,28,8602,,26,0,0,0,0,10,158,125,98,115,92,119,90,70,72
3,W18,W,W,18,Monoculture,W.acuminata,30/09/2013,53,Extra high,28,8602,,26,0,0,0,0,10,158,125,98,115,92,119,90,70,72
3,W19,W,W,19,Monoculture,W.acuminata,30/09/2013,53,Low,4,8611,,4,0,0,0,0,90,190,165,155,NA,NA,NA,NA,NA,NA
3,W21,W,W,21,Monoculture,W.acuminata,30/09/2013,53,High,15,8614,,14,0,0,0,0,24,131,57,94,44,43,65,82,100,103
3,W7,W,W,7,Monoculture,W.acuminata,30/09/2013,53,Extra high,15,,,15,0,0,0,0,103,202,126,185,212,210,135,125,105,110
3,W8,W,W,8,Monoculture,W.acuminata,30/09/2013,53,Extra high,27,8585,,22,0,0,0,0,32,169,111,114,98,120,130,126,92,100
3,WA1,WA,W,1,Mixture,W.acuminata,30/09/2013,53,Low,8,8577,,8,0,0,0,0,80,257,200,105,150,140,170,110,NA,NA
3,WA10,WA,W,10,Mixture,W.acuminata,30/09/2013,53,High,23,8613,,23,0,0,0,0,47,169,60,91,143,72,118,150,79,164
3,WA2,WA,W,2,Mixture,W.acuminata,30/09/2013,53,Low,11,8583,,11,0,0,0,0,40,173,102,110,140,86,78,93,92,93
3,WA3,WA,W,3,Mixture,W.acuminata,30/09/2013,53,Low,4,8584,,4,0,0,0,0,105,240,175,160,NA,NA,NA,NA,NA,NA
3,WA4,WA,W,4,Mixture,W.acuminata,30/09/2013,53,Low,17,8595,,14,0,0,0,0,21,213,90,138,180,118,65,128,112,43
3,WA5,WA,W,5,Mixture,W.acuminata,30/09/2013,53,High,13,8596,,5,1,0,0,0,10,85,60,65,63,60,47,49,58,55
3,WA6,WA,W,6,Mixture,W.acuminata,30/09/2013,53,High,16,8597,,13,1,0,0,0,8,155,90,146,132,108,84,124,70,80
3,WA7,WA,W,7,Mixture,W.acuminata,30/09/2013,53,Low,8,8598,,7,0,0,0,0,22,190,170,73,101,121,100,146,NA,NA
3,WA8,WA,W,8,Mixture,W.acuminata,30/09/2013,53,High,13,8599,,12,0,0,0,0,55,174,113,91,142,122,92,140,86,90
3,WA9,WA,W,9,Mixture,W.acuminata,30/09/2013,53,High,12,8612,,12,0,0,0,0,50,180,165,155,145,110,120,120,160,155
3,W7,W,W,7,Monoculture,W.acuminata,8/10/2013,NA,Extra high,15,,,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A11,A,A,11,Monoculture,A.cupaniana,18/10/2013,71,NA,175,8574,,0,0,0,175,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A12,A,A,12,Monoculture,A.cupaniana,18/10/2013,71,NA,125,8582,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A13,A,A,13,Monoculture,A.cupaniana,18/10/2013,71,NA,125,8603,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A14,A,A,14,Monoculture,A.cupaniana,18/10/2013,71,NA,175,8605,,0,0,0,175,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A15,A,A,15,Monoculture,A.cupaniana,18/10/2013,71,NA,100,8606,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A16,A,A,16,Monoculture,A.cupaniana,18/10/2013,71,NA,150,8607,,0,0,0,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A17,A,A,17,Monoculture,A.cupaniana,18/10/2013,71,NA,125,8608,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A18,A,A,18,Monoculture,A.cupaniana,18/10/2013,71,NA,100,8610,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A7,A,A,7,Monoculture,A.cupaniana,18/10/2013,71,NA,80,8609,,0,0,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A8,A,A,8,Monoculture,A.cupaniana,18/10/2013,71,NA,150,8578,,0,0,0,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,A,1,Mixture,A.cupaniana,18/10/2013,71,Low,125,8577,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,A,10,Mixture,A.cupaniana,18/10/2013,71,High,25,8613,,0,0,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,A,2,Mixture,A.cupaniana,18/10/2013,71,Low,125,8583,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,A,3,Mixture,A.cupaniana,18/10/2013,71,Low,125,8584,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,A,4,Mixture,A.cupaniana,18/10/2013,71,Low,75,8595,,0,0,0,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,A,5,Mixture,A.cupaniana,18/10/2013,71,High,75,8596,,0,0,0,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,A,6,Mixture,A.cupaniana,18/10/2013,71,High,75,8597,,0,0,0,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,A,7,Mixture,A.cupaniana,18/10/2013,71,Low,150,8598,,0,0,0,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,A,8,Mixture,A.cupaniana,18/10/2013,71,High,50,8599,,0,0,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,A,9,Mixture,A.cupaniana,18/10/2013,71,High,100,8612,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W11,W,W,11,Monoculture,W.acuminata,18/10/2013,71,High,12,8575,,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W12,W,W,12,Monoculture,W.acuminata,18/10/2013,71,Low,8,8581,,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W13,W,W,13,Monoculture,W.acuminata,18/10/2013,71,Low,8,8592,,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W14,W,W,14,Monoculture,W.acuminata,18/10/2013,71,Low,5,8593,,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W15,W,W,15,Monoculture,W.acuminata,18/10/2013,71,High,14,8594,,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W16,W,W,16,Monoculture,W.acuminata,18/10/2013,71,High,13,8600,,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,18/10/2013,71,Extra high,32,8601,,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W17,W,W,17,Monoculture,W.acuminata,18/10/2013,71,Extra high,32,8601,,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,18/10/2013,71,Extra high,27,8602,,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W18,W,W,18,Monoculture,W.acuminata,18/10/2013,71,Extra high,27,8602,,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W19,W,W,19,Monoculture,W.acuminata,18/10/2013,71,Low,5,8611,,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W21,W,W,21,Monoculture,W.acuminata,18/10/2013,71,High,15,8614,,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W7,W,W,7,Monoculture,W.acuminata,18/10/2013,71,Extra high,21,,,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W8,W,W,8,Monoculture,W.acuminata,18/10/2013,71,Extra high,32,8585,,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,W,1,Mixture,W.acuminata,18/10/2013,71,Low,9,8577,,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,W,10,Mixture,W.acuminata,18/10/2013,71,High,12,8613,,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,W,2,Mixture,W.acuminata,18/10/2013,71,Low,12,8583,,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,W,3,Mixture,W.acuminata,18/10/2013,71,Low,5,8584,,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA4,WA,W,4,Mixture,W.acuminata,18/10/2013,71,Low,15,8595,,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA5,WA,W,5,Mixture,W.acuminata,18/10/2013,71,High,15,8596,,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA6,WA,W,6,Mixture,W.acuminata,18/10/2013,71,High,19,8597,,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA7,WA,W,7,Mixture,W.acuminata,18/10/2013,71,Low,9,8598,,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA8,WA,W,8,Mixture,W.acuminata,18/10/2013,71,High,12,8599,,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA9,WA,W,9,Mixture,W.acuminata,18/10/2013,71,High,16,8612,,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W7,W,W,7,Monoculture,W.acuminata,25/10/2013,71,Extra high,21,,,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,W7,W,W,7,Monoculture,W.acuminata,31/10/2013,NA,Extra high,21,,,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A11,A,A,11,Monoculture,A.cupaniana,3/11/2013,75,NA,175,8574,,0,0,0,175,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A12,A,A,12,Monoculture,A.cupaniana,3/11/2013,75,NA,75,8582,,0,0,0,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A13,A,A,13,Monoculture,A.cupaniana,3/11/2013,75,NA,150,8603,,0,0,0,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A14,A,A,14,Monoculture,A.cupaniana,3/11/2013,75,NA,125,8605,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A15,A,A,15,Monoculture,A.cupaniana,3/11/2013,75,NA,100,8606,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A16,A,A,16,Monoculture,A.cupaniana,3/11/2013,75,NA,100,8607,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A17,A,A,17,Monoculture,A.cupaniana,3/11/2013,75,NA,125,8608,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A18,A,A,18,Monoculture,A.cupaniana,3/11/2013,75,NA,100,8610,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A7,A,A,7,Monoculture,A.cupaniana,3/11/2013,75,NA,80,8609,,0,0,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A8,A,A,8,Monoculture,A.cupaniana,3/11/2013,75,NA,150,8578,,0,0,0,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA1,WA,A,1,Mixture,A.cupaniana,3/11/2013,75,Low,125,8577,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA10,WA,A,10,Mixture,A.cupaniana,3/11/2013,75,High,25,8613,,0,0,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA2,WA,A,2,Mixture,A.cupaniana,3/11/2013,75,Low,125,8583,,0,0,0,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WA3,WA,A,3,Mixture,A.cupaniana,3/11/2013,75,Low,100,8584,,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
