Site,Tree.species,Tree.ID,GPS.ID,NS,Side,Pair,Plot.ID,LC,Treatment,RL,Dist.to.tree,A.barbata,A.calendula,A.elegantissima,A.tomentosum,Allocasuarina,B.diandrus,B.drummondii,B.iberidifolia,B.maxima,B.tournefortii,Bare,Borya,Crust,Curly.perennial.thingy,Litter,Dryandra,Euc.litter,G.tenuissima,H.glabra,Jam.litter,L.rosea,Lily,Moss,P.airoides,P.canescens,P.gnaphaloides,P.latifolia,P.lessonii,P.sulcatum,Perr.clump,Pt.honey,Pt.small,R.polyphylla,Millotia.sp,R.pygmaea,Unk.yellow.forb,Dampiera,T.cyanopetala,T.pilosa,Thread.iris,U.anthemoides,V.myuros,W. acuminata,W.acuminata.sauveolens,Wallaby.grass,Z.divaricata
Kunjin,A.acuminata,9,555,N,North,5,9.N.5.C,C,Control,R,,,,,,,,,,,,0.01,,,0.12,0.1,,0.03,,,0.03,,,0.3,,,,,,,,,,,,,,,,,,3,5,35,,,
Kunjin,A.acuminata,9,555,N,North,4,9.N.4.C,C,Control,L,,,,3,,,,,,,,0.01,,,,0.1,,0.01,,,0.01,,,0.1,0.01,3,,,,,,,,,,,,4,,,,5,,27,,1,
Kunjin,A.acuminata,9,555,N,North,3,9.N.3.C,C,Control,R,,,,,,,,,25,,,0.9,,,,0.01,,0.03,3,,0.03,,,,0.05,,,,,,,,,,,,,6,,,,,,28,,,
Kunjin,A.acuminata,9,555,N,North,2,9.N.2.C,C,Control,L,,,,4,,,,,12,,,0.5,,0.25,0.02,0.01,,0.01,5,5,0.01,,,,,,,,,,,,,,,,,3,,,,2,30,45,,,
Kunjin,A.acuminata,9,555,N,North,1,9.N.1.C,C,Control,R,,,,,,,,,,,,,,,,0.1,,0.05,,,0.01,,,0.5,,,,,,,,,,,,,,3,,,,,80,60,,,
Kunjin,E.loxophleba,10,573,N,North,5,10.N.5.C,C,Control,L,,,,2,,,,,,,,0.1,,,,0.1,,0.8,,,,,,0.25,,7,,,,,,,,,20,,,,,,,,,7,,,
Kunjin,E.loxophleba,10,573,N,North,4,10.N.4.C,C,Control,R,,,,2,,,,,,,,0,,,,0.15,,0.95,,1,,,,,,,2,,,,,,,,,,,,,,,18,,3,,,
Kunjin,E.loxophleba,10,573,N,North,3,10.N.3.C,C,Control,L,,,,6,,,30,,,,,0.02,,,,0.03,,0.35,,,,,,,0.04,2,8,,,3,,,,,1,,,,,,,,20,11,,,
Kunjin,E.loxophleba,10,573,N,North,2,10.N.2.C,C,Control,R,,,,8,,,6,,,,,0.05,,,,0.05,,0.1,,,,,,,0.05,25,4,,2,,,,,,20,,,,,,,,9,17,1,,
Kunjin,E.loxophleba,10,573,N,North,1,10.N.1.C,C,Control,L,,,,6,,,18,,,,,0.03,,,,0.05,,0.6,,,,,,,0.05,,,,6,2,,,,,,,,,,,,,30,18,,,
Kunjin,E.loxophleba,11,556,N,North,5,11.N.5.C,C,Control,L,,,,4,,,,,,,,0.25,,,,0.3,,0.3,,1,,,,,,,,,,,,,,,22,,,,,,,,,5,,,
Kunjin,E.loxophleba,11,556,N,North,4,11.N.4.C,C,Control,R,,,,3,,,10,,,,,0.4,,,,0.2,,0.25,,,,,,,,,,,,,,,,,15,,,,,,,10,8,3,,,
Kunjin,E.loxophleba,11,556,N,North,3,11.N.3.C,C,Control,L,,,,,,,30,,,,,0.2,,,,0.2,,0.2,,,,,,,0.05,,,,,,,2,,,7,,,,,,,2,7,8,,,
Kunjin,E.loxophleba,11,556,N,North,2,11.N.2.C,C,Control,R,,,,1,,,25,,,,,0.3,,,,0.07,,0.12,,2,,,,,0.2,,,,,1,,,,,5,,,,,,,3,2,5,,,
Kunjin,E.loxophleba,11,556,N,North,1,11.N.1.C,C,Control,L,,,,,,,35,,,,,0.15,,0.15,,0.05,,0.2,,,,,,,0.1,3,47,,,,,,,,,,,,,,,1,6,10,,,
Kunjin,A.acuminata,13,562,N,North,5,13.N.5.C,C,Control,R,,,,5,,,,,,,,0.03,,,,0.15,,,,1,0.5,,,,0.08,,,,,,,,,,5,,,,,,,,3,5,,,
Kunjin,A.acuminata,13,562,N,North,4,13.N.4.C,C,Control,L,,,,4,,,,,4,,,0.02,,,,0.05,,,4,1,0.8,,,,,,,,,,,,,,5,,,,,,,1,20,13,,,
Kunjin,A.acuminata,13,562,N,North,3,13.N.3.C,C,Control,R,,,11,2,,,,,8,,,0.5,,0.15,,0.1,,,5,1,0.2,,,,10,,,,,,,,,,6,,,,,,,2,,13,,,1
Kunjin,A.acuminata,13,562,N,North,2,13.N.2.C,C,Control,L,,,,2,,,,26,7,,,0.9,,,,0.03,,,2,1,0.02,,,,0.02,,,,,,,,,,17,,,,,,,,20,25,,,
Kunjin,A.acuminata,13,562,N,North,1,13.N.1.C,C,Control,R,,,,5,,,,,9,,,0.6,,0.05,,0.02,,,25,2,0.02,,,,,,,,,,,,,,5,,,,,,,2,10,18,,,4
Kunjin,Allocasuarina,12,572,N,North,1,12.N.1.C,C,Control,L,,,,,,0.8,,,,,,0.03,,,,0.02,,,,,0.03,,,,,,,,,,,,,,,,,,,,,6,,50,,,
Kunjin,Allocasuarina,12,572,N,North,2,12.N.2.C,C,Control,R,,,,,,0.4,,,25,,,0.08,0.02,,0.01,0.03,,,1,,0.04,,,,,,,,,,,,,3,,,,,2,,,4,,45,,1,
Kunjin,Allocasuarina,12,572,N,North,3,12.N.3.C,C,Control,L,,,,2,,0.04,,,6,,,0.75,,,,0.04,,,,,0.01,,,,0.01,,7,,,,,,,2,,,,,,,,2,,40,,,
Kunjin,E.loxophleba,14,NA,N,North,5,14.N.5.C,C,Control,,,,,8,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,10,,,,,,,,11,,6,,,
Kunjin,E.loxophleba,14,NA,N,North,4,14.N.4.C,C,Control,,,,,4,,,,,,,,0.1,,,,,,0.5,,,,,,0.05,,,,,,,,,,,,,,,,,,,,1,,,
Kunjin,E.loxophleba,14,NA,N,North,3,14.N.3.C,C,Control,,,,,3,,,,,,,2,0.25,,,,,,0.1,,,,,,,,,,,,,,,,15,,,,,,,,,,9,,,
Kunjin,E.loxophleba,14,NA,N,North,2,14.N.2.C,C,Control,,,,,,,,,,,,1,75,,,,,,0.1,,1,,,,,,,,,,,,,,3,,,,,,,,,3,30,,,
Kunjin,E.loxophleba,14,NA,N,North,1,14.N.1.C,C,Control,,,,,,,,,,,,,0.6,,,,,,0.08,,,,,,,,,,,,,,,,20,,,,,,,,3,6,20,,,
Kunjin,E.loxophleba,15,NA,N,North,5,15.N.5.C,C,Control,,,,,2,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,7,
Kunjin,E.loxophleba,15,NA,N,North,4,15.N.4.C,C,Control,,,,,4,,,,,,,,0.9,,,,,,0.03,,,,,,,,,,,,,,,,,,,,10,,,,1,,2,,,
Kunjin,E.loxophleba,15,NA,N,North,3,15.N.3.C,C,Control,,,,,5,,,,,,,,0.4,,,,,,0.04,,,,,,,,,,,,,,,,1,,,,3,,,,,,6,,,
Kunjin,E.loxophleba,15,NA,N,North,2,15.N.2.C,C,Control,,,,,9,,,,,,,,0.9,,,,,,0.02,,,,,,,,,,,,,,,,2,,,,1,,,,1,,9,,,
Kunjin,E.loxophleba,15,NA,N,North,1,15.N.1.C,C,Control,,,,,4,,,,,,,,0.4,,,,,,0.15,,,,,,,4,,,,,,,,,,,,,4,,,,2,,14,,,
Kunjin,A.acuminata,16,NA,N,North,5,16.N.5.C,C,Control,,,,,2,,,,,,,,0.2,,,,,,0.01,,3,0.75,,,,,,,,,,,,,,,,,,,,,,,4,,,
Kunjin,A.acuminata,16,NA,N,North,4,16.N.4.C,C,Control,,,,,5,,,,,,,,0.9,,,,,,0.01,,,0.1,,,,3,,,,,,,,,,,,,,,,,,,6,,,
Kunjin,A.acuminata,16,NA,N,North,3,16.N.3.C,C,Control,,,,,8,,,,,,,,0.33,,,,,,0.02,,,0.04,,,,5,,,,,,,,,,,,,,,,,,,8,,,
Kunjin,A.acuminata,16,NA,N,North,2,16.N.2.C,C,Control,,,,,4,,,,,,,,0.05,,,,,,0.02,,,0.02,,,,3,,,,,,,,,,,,,,,,,,20,2,,,
Kunjin,A.acuminata,16,NA,N,North,1,16.N.1.C,C,Control,,,,,,,,,,,,,10,,,,,,0.02,,,0.02,,,,40,,,,,,,,,,,,,,,,,,70,1,,,
Kunjin,A.acuminata,9,555,S,South,1,9.S.1.C,C,Control,L,,,,2,,,,,15,,,0.9,,0.03,,0.01,,0.02,22,,0.03,,,,0.1,,,,,,,,,,,,,4,1,,,,,18,,,
Kunjin,A.acuminata,9,555,S,South,2,9.S.2.C,C,Control,R,,,,,,,,,6,,,0.7,,0.02,,0.03,,0.03,4,,0.04,,,,0.1,,,,,,,,,,,,,3,1,,,1,17,26,,8,
Kunjin,A.acuminata,9,555,S,South,3,9.S.3.C,C,Control,L,,,,,,,,,7,,,0.02,,,,0.06,,0.02,2,,0.1,,,0.5,0.3,,,2,,,,,,,,,,2,,,,2,30,50,,10,
Kunjin,A.acuminata,9,555,S,South,4,9.S.4.C,C,Control,R,,,,,,,,,,5,,,,,0.01,0.04,,0.01,,,0.3,,,0.2,0.01,,7,,,,,,,,,,,,,,,,100,16,,,
Kunjin,E.loxophleba,10,573,S,South,1,10.S.1.C,C,Control,R,,,,6,,,,,,,,0.66,,,,0.1,,0.1,,,,,,,0.05,,,,,,,,,,,,,,,,,9,20,30,,,
Kunjin,E.loxophleba,10,573,S,South,2,10.S.2.C,C,Control,L,,,,7,,,,,,,,0.85,,,,0.01,,0.03,,,,,,,,,,,3,,,,,,,,,,,,,14,7,28,,,
Kunjin,E.loxophleba,10,573,S,South,3,10.S.3.C,C,Control,R,,1,,9,,,,,,1,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,14,8,32,,,
Kunjin,E.loxophleba,10,573,S,South,4,10.S.4.C,C,Control,R,,,,,,,,,,,,0,,,,0.1,,0.9,,,,,,0.35,0.01,,,,,,,,,,4,,,,,,10,8,,7,,,
Kunjin,E.loxophleba,10,573,S,South,5,10.S.5.C,C,Control,R,,,,5,,,,,,,,,,,,0.1,,0.9,,,,,,0.3,,,,,,,,,,,28,,,,,,14,7,,4,,,
Kunjin,E.loxophleba,11,556,S,South,1,11.S.1.C,C,Control,L,,,,,,,,,,,,0.4,,,,0.08,,0.03,,3,0.15,,,,0.1,,,,19,,,,,,1,,,,,,,,5,20,,,
Kunjin,E.loxophleba,11,556,S,South,2,11.S.2.C,C,Control,R,,,,,,,,,,,2,0.8,,,,0.1,,0.05,,3,0.02,,,,0.01,,,,20,,,,,,1,,,,,,,,20,30,,,
Kunjin,E.loxophleba,11,556,S,South,3,11.S.3.C,C,Control,L,,,,,,,1,,,,,0.15,,0.1,,0.05,,0.1,1,3,0.02,,,,,,1,,23,,,,,,,,,,,,,,15,17,,,
Kunjin,E.loxophleba,11,556,S,South,4,11.S.4.C,C,Control,R,,,,2,,,,,,,2,,,,,0.2,,0.1,,,,,,0.8,,,,,,,,,,,46,,,,,,,1,,,,,
Kunjin,E.loxophleba,11,556,S,South,5,11.S.5.C,C,Control,L,,,,5,,,,,,,,0.02,,,,0.3,,0.5,,,,,,0.15,,,,,,7,,,,,20,,,,,,,,,7,,4,
Kunjin,A.acuminata,13,562,S,South,1,13.S.1.C,C,Control,L,,,,3,,,,,10,,,0.85,,,,0.02,,,5,,0.03,,,,0.2,,,,1,,,,,,,,,,,,,,7,24,,,
Kunjin,A.acuminata,13,562,S,South,2,13.S.2.C,C,Control,R,,,,,,,,1,6,,,0.8,,0.03,,0.02,,,,4,0.05,,,,0.05,,,,,,,,,,1,,,,,,,2,25,33,,,
Kunjin,A.acuminata,13,562,S,South,3,13.S.3.C,C,Control,L,,,,2,,,,,4,,,0.8,,0.05,,0.03,,,9,,0.04,,,0.07,0.01,,,,,,,,,,3,,,,,,,,50,25,,,
Kunjin,A.acuminata,13,562,S,South,4,13.S.4.C,C,Control,R,,,,6,,,,,,,,0.8,,0.07,,0.04,,,,2,0.03,,,0.05,0.01,1,,,,,,,,,3,,,,,,,,4,18,,,
Kunjin,A.acuminata,13,562,S,South,5,13.S.5.C,C,Control,L,,,,2,,,,,,,,0.02,,,,0.1,,,3,3,0.5,,,0.1,0.01,,,,,,1,,,,16,,,,,,,,8,3,,,
Kunjin,Allocasuarina,12,572,S,South,1,12.S.1.C,C,Control,R,,,,,,0.03,,,13,,,0.8,,,,0.1,,,2,,0.03,,,,0.05,,,,,,,,,,,,,,,,,11,25,40,,,
Kunjin,Allocasuarina,12,572,S,South,2,12.S.2.C,C,Control,L,,,,,,0.07,,,18,,,0.05,,,0.05,0.2,,,3,,0.03,,,,0.02,,,,,,,,,,,,,,,,,17,32,40,,,
Kunjin,Allocasuarina,12,572,S,South,3,12.S.3.C,C,Control,R,,,,2,,0.1,,,,,,0.2,,,,0.17,,,,,0.06,,,,,,,,,,,,,,,,,,,6,,30,3,35,,,
Kunjin,Allocasuarina,12,572,S,South,4,12.S.4.C,C,Control,L,,,,2,,0.65,,,12,,,0.2,,,,0.15,,,,,0.03,,,,0.01,,,,,,,,,,,,,,4,,,30,10,33,,,
Kunjin,Allocasuarina,12,572,S,South,5,12.S.5.C,C,Control,R,,,,,,0.75,,,,,,,,,0.03,0.3,,,,,0.03,,,,,,,,,,,,,,,,,,,,,50,,26,,,
Kunjin,E.loxophleba,14,NA,S,South,1,14.S.1.C,C,Control,,,,,3,,,,,30,,,0.4,,0.02,,,,,,,,,,,20,,,,,,,,,,,,,2,,,,,,4,,,
Kunjin,E.loxophleba,14,NA,S,South,2,14.S.2.C,C,Control,,,,,3,,,,,30,,,0.7,,0.04,,,,0.03,,,,,,,10,,,,,,,,,,,,,2,,,,,,9,,,
Kunjin,E.loxophleba,14,NA,S,South,3,14.S.3.C,C,Control,,,,,2,,,,,,,,0.05,,,,,,0.2,,1,,,,,40,,,,,,,,,,,,,10,,,,,15,13,,,
Kunjin,E.loxophleba,14,NA,S,South,4,14.S.4.C,C,Control,,,,,20,,,,,,,,0.05,,,,,,0.01,,,,,,,,,,,,,,,,6,,,,,,,,5,10,17,,,
Kunjin,E.loxophleba,14,NA,S,South,5,14.S.5.C,C,Control,,,,,7,,,,,,1,,0.05,,,,,,0.4,,,,,,0.25,2,,,,,10,,,,1,,,,,2,,,,,20,,,
Kunjin,E.loxophleba,15,NA,S,South,1,15.S.1.C,C,Control,,,,,2,,,,,,,,0.2,,,,,,0.05,,,0.01,,,0.1,,,,,,,,,,,,,,,,,,,,30,,1,
Kunjin,E.loxophleba,15,NA,S,South,2,15.S.2.C,C,Control,,,,,7,,,,,,,,0.04,,,,,,0.25,,,0.02,,,,,,,,,,,,,2,,,,,,,,,,10,,,
Kunjin,E.loxophleba,15,NA,S,South,3,15.S.3.C,C,Control,,,,,7,,,,,,,,0.45,,,,,,40,,,0.01,,,0.03,,,,,,,,,,,,,,1,,,,,,18,,,
Kunjin,E.loxophleba,15,NA,S,South,4,15.S.4.C,C,Control,,,,,5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,3,,,,1,,10,,,
Kunjin,E.loxophleba,15,NA,S,South,5,15.S.5.C,C,Control,,,,,6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,
Kunjin,A.acuminata,16,NA,S,South,1,16.S.1.C,C,Control,,,,,12,,,,,,,,0.12,,,,,,0.04,,,0.02,,,,,3,,,,,,,,,,,,,,,,,15,17,,,
Kunjin,A.acuminata,16,NA,S,South,2,16.S.2.C,C,Control,,,,,4,,,,,,,,0.05,,,,,,0.08,,,0.1,,,,80,,,,,,,,,,,,,,,,,,7,10,,,
